Species,Black_proportion,Orange_proportion,Ratio_orange/black
guepe,90.8259633038532,0.0,0.0
frelon,77.31193529396708,0.7789637137713618,1.0075594548363958
frelon,75.60342248549034,0.4631125471190092,0.6125550033239419
frelon,79.21409622006058,0.08090462661574066,0.10213412823771126
frelon,76.17784332592919,0.2580958461856671,0.3388069744655231
guepe,82.90993163972657,0.0,0.0
frelon,51.9605371518849,0.0,0.0
frelon,74.63920239544602,0.10463624099239907,0.14018938792784216
frelon,78.2532784240791,0.25556841832248434,0.3265913243116522
guepe,83.47243682158766,0.0,0.0
frelon,60.777242639208524,0.02135281975847588,0.03513291954561424
guepe,81.92129393585228,0.0,0.0
frelon,60.28695224340153,1.0617867855952514,1.7612215348163751
frelon,75.92556481042983,0.050143466027801765,0.06604292790313702
frelon,26.472143282003838,0.01487013416165488,0.056172762451629006
